epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4738,1.14834,7.17674,0.02006,0.00316,0.91338,0.17113,0.12048,1.06228,3.44437,0.01768,0.000299633,0.000299633,0.000299633
2,66.9577,1.13854,5.58285,0.01949,0.34061,0.38806,0.3756,0.23589,1.24279,2.20583,0.0256,0.000596667,0.000596667,0.000596667
3,98.3726,1.18203,4.4413,0.02113,0.37189,0.44606,0.42011,0.26669,1.32277,1.89051,0.02603,0.000887702,0.000887702,0.000887702
4,130.051,1.22923,3.467,0.02132,0.48998,0.47453,0.5058,0.33442,1.23127,1.7735,0.02283,0.000882003,0.000882003,0.000882003
5,160.515,1.20286,2.73273,0.02136,0.57921,0.59789,0.58136,0.37708,1.29385,1.51894,0.02543,0.000873004,0.000873004,0.000873004
6,190.744,1.22817,2.34583,0.02209,0.62597,0.54657,0.64031,0.43792,1.20632,1.40527,0.02296,0.000864004,0.000864004,0.000864004
7,222.173,1.2014,1.98625,0.02154,0.61037,0.69971,0.72907,0.44366,1.39897,1.28854,0.03089,0.000855005,0.000855005,0.000855005
8,252.724,1.20983,1.75816,0.0209,0.61168,0.63319,0.6745,0.41672,1.31291,1.27803,0.02665,0.000846006,0.000846006,0.000846006
9,283.608,1.16208,1.64045,0.02064,0.70364,0.63062,0.71363,0.4908,1.20262,1.16404,0.02237,0.000837007,0.000837007,0.000837007
10,314.93,1.2074,1.59728,0.02091,0.57611,0.7507,0.75408,0.49845,1.29357,1.16805,0.0255,0.000828008,0.000828008,0.000828008
11,345.561,1.17215,1.49372,0.02033,0.6648,0.78358,0.80106,0.54918,1.22728,1.08946,0.02383,0.000819009,0.000819009,0.000819009
12,377.317,1.14986,1.3708,0.02043,0.77664,0.73735,0.81666,0.54405,1.25195,1.04079,0.02509,0.00081001,0.00081001,0.00081001
13,407.953,1.11353,1.26258,0.01931,0.78137,0.7137,0.82641,0.58769,1.15703,1.02035,0.02103,0.000801011,0.000801011,0.000801011
14,439.56,1.13841,1.32002,0.01947,0.66328,0.82198,0.80136,0.56342,1.19671,1.03044,0.02223,0.000792012,0.000792012,0.000792012
15,470.406,1.15041,1.25914,0.01967,0.74551,0.78118,0.82092,0.56182,1.20366,0.97609,0.02238,0.000783013,0.000783013,0.000783013
16,500.871,1.12694,1.17116,0.01906,0.87585,0.83838,0.8908,0.60582,1.24281,0.82685,0.02341,0.000774013,0.000774013,0.000774013
17,532.484,1.09187,1.13565,0.01913,0.85186,0.78808,0.85292,0.59737,1.15705,0.95122,0.02158,0.000765014,0.000765014,0.000765014
18,562.383,1.09687,1.1264,0.01874,0.79578,0.78755,0.84987,0.59833,1.17757,0.94021,0.02118,0.000756015,0.000756015,0.000756015
19,593.014,1.11244,1.09823,0.01909,0.81351,0.76501,0.85119,0.57514,1.27333,0.85988,0.02393,0.000747016,0.000747016,0.000747016
20,623.61,1.11922,1.06457,0.01918,0.82044,0.82109,0.88162,0.60711,1.1813,0.81587,0.02205,0.000738017,0.000738017,0.000738017
21,654.127,1.09908,1.0396,0.01877,0.74142,0.80875,0.84035,0.58387,1.17723,0.88803,0.02183,0.000729018,0.000729018,0.000729018
22,685.444,1.12423,0.99833,0.01896,0.75392,0.8072,0.84254,0.58019,1.15973,0.8938,0.02179,0.000720019,0.000720019,0.000720019
23,716.259,1.10224,1.03328,0.01897,0.81612,0.80332,0.86651,0.60279,1.15776,0.82285,0.02216,0.00071102,0.00071102,0.00071102
24,747.33,1.0643,0.98205,0.01803,0.797,0.79364,0.86247,0.61959,1.22384,0.78689,0.02208,0.000702021,0.000702021,0.000702021
25,779.162,1.07915,0.94405,0.01827,0.81658,0.7907,0.88529,0.62848,1.18769,0.81321,0.021,0.000693022,0.000693022,0.000693022
26,810.154,1.02133,0.88301,0.01746,0.84467,0.83514,0.89153,0.62932,1.18713,0.79828,0.0218,0.000684022,0.000684022,0.000684022
27,842.167,1.05219,0.91409,0.01792,0.87013,0.81146,0.89207,0.60304,1.25624,0.76409,0.02315,0.000675023,0.000675023,0.000675023
28,872.874,1.0607,0.90468,0.01751,0.86396,0.77394,0.89938,0.64232,1.15903,0.78998,0.02142,0.000666024,0.000666024,0.000666024
29,904.565,1.06471,0.9614,0.01789,0.80578,0.82633,0.87991,0.62059,1.14275,0.76347,0.02076,0.000657025,0.000657025,0.000657025
30,934.916,1.07114,0.88782,0.01814,0.84691,0.83321,0.89556,0.64892,1.13862,0.71456,0.02032,0.000648026,0.000648026,0.000648026
31,965.88,1.03478,0.86566,0.01775,0.91052,0.8262,0.91204,0.65162,1.16768,0.72687,0.02052,0.000639027,0.000639027,0.000639027
32,997.399,1.03181,0.85887,0.01787,0.89551,0.82332,0.89759,0.66649,1.13722,0.73407,0.01987,0.000630028,0.000630028,0.000630028
33,1027.94,1.00506,0.79294,0.01671,0.81599,0.8732,0.90365,0.6415,1.20908,0.66941,0.02218,0.000621029,0.000621029,0.000621029
34,1059.43,1.0341,0.831,0.01724,0.88074,0.80083,0.90387,0.62438,1.20894,0.68018,0.02293,0.00061203,0.00061203,0.00061203
35,1090.12,0.99495,0.77085,0.01684,0.89493,0.79624,0.88998,0.62976,1.16405,0.72166,0.02078,0.000603031,0.000603031,0.000603031
36,1121.01,1.00899,0.77101,0.01626,0.89615,0.86702,0.93339,0.66965,1.16842,0.62346,0.02027,0.000594031,0.000594031,0.000594031
37,1152.23,1.02877,0.84264,0.01668,0.84479,0.82524,0.87259,0.60399,1.21875,0.73146,0.02337,0.000585032,0.000585032,0.000585032
38,1182.61,0.99801,0.75225,0.01697,0.86357,0.85554,0.9068,0.64515,1.16875,0.74595,0.02155,0.000576033,0.000576033,0.000576033
39,1214.42,0.99795,0.78913,0.01663,0.88827,0.84522,0.91065,0.65477,1.16335,0.7998,0.02101,0.000567034,0.000567034,0.000567034
40,1245.19,0.99578,0.78504,0.0166,0.81183,0.85056,0.90452,0.63894,1.15089,0.76946,0.02116,0.000558035,0.000558035,0.000558035
41,1276.72,1.01089,0.74757,0.01627,0.89927,0.82275,0.89717,0.65253,1.17936,0.67988,0.0212,0.000549036,0.000549036,0.000549036
42,1307.83,0.99434,0.72702,0.01604,0.89809,0.81981,0.91126,0.65921,1.16158,0.63854,0.02088,0.000540037,0.000540037,0.000540037
43,1338.39,0.96251,0.71406,0.01607,0.83753,0.88982,0.92148,0.66181,1.1342,0.71722,0.01988,0.000531038,0.000531038,0.000531038
44,1370.22,0.96947,0.76004,0.01604,0.91045,0.82892,0.91308,0.65989,1.14336,0.70652,0.01975,0.000522039,0.000522039,0.000522039
